38,A0,89814,B1,9,C1,D1,E1,F1,G0,0,0,50,H0
28,A1,336951,B2,12,C1,D2,E1,F1,G0,0,0,40,H0
44,A0,160323,B3,10,C1,D0,E1,F0,G0,7688,0,40,H0
18,?,103497,B3,10,C0,?,E0,F1,G1,0,0,30,H0
63,A3,104626,B5,15,C1,D5,E1,F1,G0,3103,0,32,H0
65,A0,184454,B1,9,C1,D0,E1,F1,G0,6418,0,40,H0
48,A0,279724,B1,9,C1,D0,E1,F1,G0,3103,0,48,H0
43,A0,346189,B8,14,C1,D8,E1,F1,G0,0,0,50,H0
40,A0,85019,B9,16,C1,D5,E1,F2,G0,0,0,45,?
34,A0,107914,B7,13,C1,D9,E1,F1,G0,0,0,47,H0
34,A0,238588,B3,10,C0,D4,E0,F0,G1,0,0,35,H0
45,A3,432824,B1,9,C1,D6,E1,F1,G0,7298,0,90,H0
22,A0,236427,B1,9,C0,D7,E0,F1,G0,0,0,20,H0
46,A5,106444,B3,10,C1,D8,E1,F0,G0,7688,0,38,H0
23,A1,258120,B3,10,C1,D2,E1,F1,G0,0,0,40,H0
65,?,191846,B1,9,C1,?,E1,F1,G0,0,0,40,H0
36,A1,403681,B7,13,C1,D5,E1,F1,G0,0,0,40,H0
65,A0,136384,B8,14,C1,D5,E1,F1,G0,0,0,50,H0
44,A6,120277,B11,11,C1,D10,E1,F1,G0,0,0,45,H0
36,A0,465326,B1,9,C1,D1,E1,F1,G0,0,0,40,H0
28,A0,242832,B11,11,C1,D5,E4,F1,G1,0,0,36,H0
54,A0,186272,B3,10,C1,D12,E1,F1,G0,3908,0,50,H0
22,A0,54164,B1,9,C0,D4,E2,F1,G0,14084,0,60,H0
21,A0,110677,B3,10,C0,D7,E0,F1,G1,0,0,40,H0
34,A1,382078,B7,13,C1,D8,E1,F1,G0,3103,0,50,H0
42,A6,170721,B1,9,C1,D8,E1,F1,G0,5178,0,50,H0
39,A0,118429,B3,10,C3,D10,E2,F1,G0,0,0,40,H0
41,A0,109912,B7,13,C0,D4,E2,F1,G1,0,0,40,?
41,A6,445382,B2,12,C1,D6,E1,F1,G0,15024,0,60,H0
46,A0,170338,B1,9,C4,D12,E2,F1,G0,0,0,40,H0
55,A0,323887,B3,10,C1,D8,E1,F1,G0,15024,0,45,H0
21,A0,388946,B3,10,C4,D13,E2,F1,G1,0,0,40,H0
45,A6,67001,B3,10,C1,D0,E1,F1,G0,0,0,50,H0
23,A0,213734,B7,13,C0,D8,E2,F1,G0,0,0,40,H0
24,A0,83141,B3,10,C4,D4,E2,F1,G0,0,1876,40,H0
44,A6,223881,B1,9,C1,D6,E1,F1,G0,99999,0,50,?
55,A0,160631,B1,9,C1,D10,E1,F1,G0,0,0,56,H0
24,A4,228724,B3,10,C0,D14,E2,F1,G0,0,0,40,H0
41,?,38434,B8,14,C1,?,E4,F1,G1,7688,0,10,H0
59,A0,292946,B7,13,C0,D8,E2,F1,G1,0,0,25,H0
33,A0,176410,B8,14,C1,D5,E4,F1,G1,5178,0,10,H0
20,A0,479296,B1,9,C0,D13,E0,F1,G0,0,0,40,H0
49,A0,164877,B4,6,C1,D1,E1,F1,G0,0,0,40,H0
59,A0,272087,B1,9,C1,D12,E1,F1,G0,0,0,40,H0
33,A0,202191,B3,10,C0,D7,E3,F0,G1,0,0,35,H0
36,A0,75826,B4,6,C4,D0,E2,F1,G1,0,0,40,H0
41,A1,201520,B1,9,C1,D2,E1,F1,G0,0,0,40,H0
29,A0,337266,B11,11,C1,D8,E1,F1,G0,0,0,40,H0
20,?,30796,B1,9,C0,?,E0,F1,G1,0,0,20,H0
40,A0,103541,B3,10,C1,D13,E1,F1,G0,0,0,40,H0
43,A0,179866,B7,13,C3,D10,E3,F1,G1,0,0,40,H0
31,A1,198770,B7,13,C3,D5,E3,F1,G1,0,0,60,H0
48,A4,42972,B9,16,C1,D5,E4,F1,G1,0,0,40,H0
27,A3,115438,B1,9,C1,D6,E1,F1,G0,0,0,60,H6
41,A0,239296,B8,14,C1,D5,E1,F1,G0,0,2415,50,H0
42,A6,100793,B9,16,C1,D5,E1,F1,G0,0,0,41,H0
57,A0,244478,B1,9,C1,D6,E1,F0,G0,0,0,48,H0
36,A0,182863,B1,9,C1,D10,E1,F1,G0,0,0,60,H0
49,A0,171128,B6,4,C1,D0,E1,F0,G0,0,0,40,H0
23,A0,306309,B4,6,C1,D1,E1,F1,G0,0,0,40,H0
18,A0,262118,B3,10,C0,D7,E0,F2,G1,0,0,22,H7
40,A0,155972,B1,9,C1,D8,E1,F1,G0,7688,0,55,H0
43,A6,214503,B1,9,C1,D8,E1,F1,G0,0,1887,45,H0
47,A3,174995,B1,9,C2,D8,E2,F1,G1,0,0,30,H0
33,A0,177727,B1,9,C1,D10,E1,F1,G0,0,0,40,H0
55,A0,124771,B7,13,C1,D8,E1,F1,G0,15024,0,50,H0
28,A0,216604,B3,10,C0,D4,E2,F0,G0,0,0,14,H0
40,A5,67874,B7,13,C1,D7,E1,F1,G0,0,1887,45,H0
22,A0,537222,B7,13,C0,D10,E2,F1,G0,0,0,25,H0
22,A0,388885,B1,9,C1,D6,E1,F1,G0,0,0,45,H0
46,A5,56841,B8,14,C1,D8,E1,F1,G0,0,0,45,H0
31,A0,156493,B3,10,C1,D8,E1,F1,G0,0,0,40,H0
58,A3,159021,B9,16,C1,D5,E1,F1,G0,0,0,16,H0
58,A1,137249,B1,9,C3,D8,E2,F1,G0,0,0,33,H0
54,A0,236157,B1,9,C1,D5,E1,F1,G0,0,1887,40,H0
34,A0,189759,B8,14,C0,D5,E2,F1,G0,0,0,40,H0
61,A0,21175,B13,8,C1,D8,E1,F1,G0,0,0,60,H0
48,A1,67229,B8,14,C4,D7,E3,F0,G1,0,0,40,H0
